group,time,IFlu,IRSV
2,58,4.4438e-06,1.8748e-05
2,59,5.0648e-06,2.1922e-05
2,60,6.0329e-06,2.7108e-05
2,61,7.4983e-06,3.5407e-05
2,62,9.704e-06,4.8758e-05
2,63,1.304e-05,7.0602e-05
2,64,1.8134e-05,0.00010712
2,65,2.5999e-05,0.00016965
2,66,3.8256e-05,0.00027896
2,67,5.7496e-05,0.00047397
2,68,8.7761e-05,0.00082614
2,69,0.0001352,0.0014681
2,70,0.00020866,0.0026357
2,71,0.0003196,0.0047343
2,72,0.00048028,0.0084024
2,73,0.00069684,0.014484
2,74,0.00095736,0.023757
2,75,0.0012182,0.036146
2,76,0.0014107,0.049789
2,77,0.0014802,0.061066
2,78,0.0014277,0.066533
2,79,0.0013021,0.065155
2,80,0.0011562,0.058492
2,81,0.0010202,0.049151
2,82,0.00090264,0.039347
2,83,0.00080069,0.030407
2,84,0.00070852,0.022891
2,85,0.00062132,0.016887
2,86,0.00053663,0.012252
2,87,0.00045437,0.0087608
2,88,0.00037605,0.0061832
2,89,0.00030383,0.0043116
2,90,0.00023972,0.0029732
2,91,0.00018499,0.0020305
2,92,0.00013997,0.0013755
2,93,0.0001042,0.00092616
2,94,7.662e-05,0.00062163
2,95,5.5901e-05,0.00041722
2,96,4.0659e-05,0.00028098
2,97,2.963e-05,0.00019071
2,98,2.1743e-05,0.00013098
2,99,1.6149e-05,9.1471e-05
2,100,1.2199e-05,6.5261e-05
2,101,9.4171e-06,4.7791e-05
2,102,7.4627e-06,3.6099e-05
2,103,6.096e-06,2.8252e-05
2,104,5.1522e-06,2.3011e-05
2,105,4.5203e-06,1.9582e-05
3,1,3.5391e-07,1.9793e-05
3,2,2.9979e-07,1.764e-05
3,3,2.7034e-07,1.6531e-05
3,4,2.6014e-07,1.6332e-05
3,5,2.6753e-07,1.704e-05
3,6,2.9422e-07,1.8797e-05
3,7,3.4585e-07,2.193e-05
3,8,4.3401e-07,2.7053e-05
3,9,5.7993e-07,3.5239e-05
3,10,8.2283e-07,4.8393e-05
3,11,1.2339e-06,6.9851e-05
3,12,1.9473e-06,0.00010566
3,13,3.214e-06,0.00016673
3,14,5.5144e-06,0.00027324
3,15,9.7642e-06,0.00046249
3,16,1.7699e-05,0.00080334
3,17,3.257e-05,0.0014224
3,18,6.0218e-05,0.0025453
3,19,0.00011058,0.0045587
3,20,0.0001989,0.0080738
3,21,0.00034383,0.013907
3,22,0.00055885,0.02283
3,23,0.00083277,0.034848
3,24,0.0011142,0.048263
3,25,0.0013283,0.059609
3,26,0.0014287,0.065431
3,27,0.0014247,0.064522
3,28,0.0013562,0.05827
3,29,0.0012582,0.0492
3,30,0.0011475,0.039535
3,31,0.0010281,0.030641
3,32,0.00090005,0.023119
3,33,0.00076466,0.017085
3,34,0.00062671,0.012412
3,35,0.0004935,0.0088847
3,36,0.00037264,0.0062759
3,37,0.00026985,0.0043788
3,38,0.00018775,0.0030211
3,39,0.00012593,0.0020639
3,40,8.1806e-05,0.0013984
3,41,5.1743e-05,0.00094167
3,42,3.2083e-05,0.00063206
3,43,1.9634e-05,0.00042418
3,44,1.1938e-05,0.00028562
3,45,7.2799e-06,0.00019383
3,46,4.4749e-06,0.00013307
3,47,2.8007e-06,9.2899e-05
3,48,1.7951e-06,6.6242e-05
3,49,1.1876e-06,4.8482e-05
3,50,8.1639e-07,3.6595e-05
3,51,5.8668e-07,2.8616e-05
3,52,4.433e-07,2.3285e-05
3,53,3.5391e-07,1.9793e-05
3,54,2.9979e-07,1.764e-05
3,55,2.7034e-07,1.6532e-05
3,56,2.6014e-07,1.6332e-05
3,57,2.6754e-07,1.704e-05
3,58,2.9422e-07,1.8797e-05
3,59,3.4585e-07,2.193e-05
3,60,4.3401e-07,2.7053e-05
3,61,5.7993e-07,3.5239e-05
3,62,8.2286e-07,4.8395e-05
3,63,1.2339e-06,6.9851e-05
3,64,1.9475e-06,0.00010566
