group,time,susceptible,infected,recovered
2,39,0.57561,0.055343,0.36905
2,40,0.5578,0.050721,0.39148
2,41,0.54533,0.045154,0.40951
2,42,0.5378,0.039254,0.42295
2,43,0.53465,0.033491,0.43186
2,44,0.53522,0.028197,0.43659
2,45,0.53882,0.02349,0.43769
2,46,0.54484,0.019406,0.43575
2,47,0.55275,0.01594,0.43131
2,48,0.56211,0.013045,0.42484
2,49,0.57253,0.010648,0.41682
2,50,0.58371,0.0086818,0.4076
2,51,0.59542,0.0070819,0.3975
2,52,0.60742,0.0057879,0.38679
2,53,0.61955,0.0047449,0.37571
2,54,0.63169,0.0039076,0.3644
2,55,0.64376,0.003238,0.353
2,56,0.65568,0.0027042,0.34162
2,57,0.66737,0.0022799,0.33035
2,58,0.67881,0.0019439,0.31925
2,59,0.68996,0.001679,0.30836
2,60,0.7008,0.0014717,0.29773
2,61,0.71132,0.0013118,0.28737
2,62,0.7215,0.0011912,0.27731
2,63,0.73133,0.0011037,0.26757
2,64,0.74082,0.0010448,0.25814
2,65,0.74995,0.0010118,0.24904
2,66,0.75872,0.0010039,0.24027
2,67,0.76714,0.0010218,0.23184
2,68,0.77518,0.0010668,0.22375
2,69,0.78285,0.0011432,0.21601
2,70,0.79012,0.001258,0.20863
2,71,0.79696,0.0014213,0.20162
2,72,0.80334,0.0016496,0.19502
2,73,0.80919,0.0019617,0.18884
2,74,0.81447,0.0023827,0.18315
2,75,0.81904,0.0029563,0.178
2,76,0.82272,0.0037448,0.17353
2,77,0.82529,0.0048293,0.16988
2,78,0.82646,0.0063065,0.16723
2,79,0.82587,0.0082865,0.16584
2,80,0.82288,0.010992,0.16613
2,81,0.81681,0.014609,0.16858
2,82,0.80699,0.019249,0.17376
2,83,0.79278,0.024949,0.18227
2,84,0.77361,0.031678,0.19471
2,85,0.74952,0.038995,0.21149
2,86,0.72122,0.046118,0.23267
2,87,0.69,0.05227,0.25773
2,88,0.65773,0.056695,0.28558
2,89,0.62679,0.058656,0.31455
2,90,0.59922,0.05795,0.34283
2,91,0.57623,0.055033,0.36873
2,92,0.55856,0.05045,0.39099
2,93,0.54632,0.044848,0.40883
2,94,0.53899,0.038975,0.42204
2,95,0.53593,0.033336,0.43073
2,96,0.53652,0.028107,0.43538
2,97,0.54004,0.02344,0.43652
2,98,0.54593,0.019398,0.43467
2,99,0.55376,0.015958,0.43028
2,100,0.56304,0.013069,0.42389
2,101,0.57341,0.010674,0.41592
2,102,0.58456,0.0087076,0.40674
2,103,0.59621,0.0071076,0.39668
2,104,0.60816,0.0058128,0.38603
2,105,0.62025,0.0047686,0.37498
3,1,0.60094,0.0031145,0.39594
3,2,0.61483,0.0023855,0.38278
3,3,0.62848,0.0018362,0.36968
3,4,0.64183,0.001423,0.35675
3,5,0.65482,0.0011126,0.34406
3,6,0.66744,0.00088049,0.33168
3,7,0.67967,0.00070707,0.31962
3,8,0.6915,0.00057771,0.30792
3,9,0.70293,0.00048166,0.29659
3,10,0.71396,0.00041083,0.28563
3,11,0.7246,0.00035951,0.27504
3,12,0.73485,0.0003236,0.26483
3,13,0.74472,0.00030031,0.25498
3,14,0.75421,0.0002878,0.2455
3,15,0.76334,0.00028525,0.23637
3,16,0.77212,0.00029279,0.22759
3,17,0.78053,0.00031174,0.21915
3,18,0.7886,0.00034454,0.21106
3,19,0.79631,0.00039401,0.20329
3,20,0.80367,0.0004668,0.19586
3,21,0.81065,0.00057378,0.18878
3,22,0.81722,0.00072999,0.18205
3,23,0.82332,0.00095916,0.17572
3,24,0.8289,0.0012949,0.16981
3,25,0.8338,0.0017951,0.16441
3,26,0.83781,0.0025493,0.15964
3,27,0.84062,0.0036826,0.15569
3,28,0.84175,0.0053946,0.15286
3,29,0.84045,0.0079674,0.15158
3,30,0.83571,0.01176,0.15253
3,31,0.82627,0.017169,0.15656
3,32,0.81049,0.024634,0.16487
3,33,0.78699,0.034261,0.17875
3,34,0.75524,0.045475,0.19929
3,35,0.71594,0.057034,0.22703
3,36,0.67227,0.066715,0.26101
3,37,0.62805,0.072758,0.29919
3,38,0.58718,0.074205,0.33861
3,39,0.55292,0.071206,0.37587
3,40,0.52679,0.064811,0.4084
3,41,0.50927,0.056239,0.43449
3,42,0.49958,0.046972,0.45345
3,43,0.49591,0.038574,0.46552
3,44,0.49714,0.031177,0.47169
3,45,0.50225,0.02482,0.47293
3,46,0.51032,0.019538,0.47014
3,47,0.52059,0.015239,0.46417
3,48,0.53242,0.0118,0.45578
3,49,0.54533,0.0090895,0.44559
3,50,0.55889,0.0069714,0.43414
3,51,0.57282,0.0053303,0.42185
3,52,0.5869,0.0040736,0.40903
3,53,0.60094,0.0031145,0.39594
3,54,0.61483,0.0023855,0.38278
3,55,0.62848,0.0018362,0.36968
3,56,0.64183,0.001423,0.35675
3,57,0.65482,0.0011126,0.34406
3,58,0.66744,0.00088049,0.33168
3,59,0.67967,0.00070707,0.31962
3,60,0.6915,0.00057771,0.30792
3,61,0.70293,0.00048166,0.29659
3,62,0.71396,0.00041083,0.28563
3,63,0.7246,0.00035951,0.27504
3,64,0.73485,0.0003236,0.26483
3,65,0.74472,0.00030031,0.25498
3,66,0.75421,0.0002878,0.2455
3,67,0.76334,0.00028525,0.23637
3,68,0.77212,0.00029279,0.22759
3,69,0.78053,0.00031174,0.21915
3,70,0.7886,0.00034454,0.21106
3,71,0.79631,0.00039401,0.20329
3,72,0.80367,0.0004668,0.19586
3,73,0.81065,0.00057378,0.18878
3,74,0.81722,0.00072999,0.18205
3,75,0.82332,0.00095916,0.17572
3,76,0.8289,0.0012949,0.16981
3,77,0.8338,0.0017951,0.16441
3,78,0.83781,0.0025493,0.15964
3,79,0.84062,0.0036826,0.15569
3,80,0.84175,0.0053946,0.15286
3,81,0.84045,0.0079674,0.15158
3,82,0.83571,0.01176,0.15253
3,83,0.82627,0.017169,0.15656
3,84,0.81049,0.024634,0.16487
3,85,0.78699,0.034261,0.17875
3,86,0.75524,0.045475,0.19929
3,87,0.71594,0.057034,0.22703
3,88,0.67227,0.066715,0.26101
3,89,0.62805,0.072758,0.29919
3,90,0.58718,0.074205,0.33861
3,91,0.55292,0.071206,0.37587
3,92,0.52679,0.064811,0.4084
3,93,0.50927,0.056239,0.43449
3,94,0.49958,0.046972,0.45345
3,95,0.49591,0.038574,0.46552
3,96,0.49714,0.031177,0.47169
3,97,0.50225,0.02482,0.47293
3,98,0.51032,0.019538,0.47014
3,99,0.52059,0.015239,0.46417
3,100,0.53242,0.0118,0.45578
3,101,0.54533,0.0090895,0.44559
3,102,0.55889,0.0069714,0.43414
3,103,0.57282,0.0053303,0.42185
3,104,0.5869,0.0040736,0.40903
3,105,0.60094,0.0031147,0.39594
4,1,0.58371,0.0021692,0.41413
4,2,0.59879,0.0015527,0.39966
4,3,0.6135,0.0011133,0.38539
4,4,0.6278,0.00080301,0.3714
4,5,0.64165,0.00058366,0.35776
4,6,0.65505,0.00042957,0.34452
4,7,0.66799,0.00032106,0.33169
4,8,0.68047,0.00024465,0.31928
4,9,0.6925,0.00019084,0.30731
4,10,0.7041,0.00015291,0.29575
4,11,0.71526,0.00012636,0.28461
4,12,0.72601,0.00010797,0.27388
4,13,0.73635,9.5683e-05,0.26355
4,14,0.74631,8.8297e-05,0.2536
4,15,0.75588,8.4976e-05,0.24403
4,16,0.76509,8.5434e-05,0.23482
4,17,0.77395,8.9888e-05,0.22596
4,18,0.78246,9.9059e-05,0.21744
4,19,0.79063,0.00011462,0.20926
4,20,0.79847,0.00013847,0.2014
4,21,0.80597,0.00017433,0.19385
4,22,0.81314,0.00022975,0.18663
4,23,0.81996,0.00031618,0.17973
4,24,0.82639,0.00045198,0.17316
4,25,0.83237,0.00066648,0.16696
4,26,0.8378,0.0010147,0.16119
4,27,0.84247,0.0015867,0.15595
4,28,0.84606,0.0025277,0.15141
4,29,0.84804,0.0040825,0.14788
4,30,0.84747,0.0066436,0.14589
4,31,0.84303,0.010754,0.14622
4,32,0.83269,0.017193,0.15012
4,33,0.81403,0.026665,0.15931
4,34,0.78477,0.039451,0.17577
4,35,0.74388,0.054719,0.2014
4,36,0.6933,0.070001,0.2367
4,37,0.63819,0.08157,0.28024
4,38,0.58523,0.086942,0.32782
4,39,0.53984,0.085372,0.37479
4,40,0.50536,0.077842,0.41679
4,41,0.48213,0.067083,0.45079
4,42,0.46893,0.05535,0.47572
4,43,0.46397,0.044279,0.49175
4,44,0.4654,0.034581,0.50002
4,45,0.47158,0.026503,0.50191
4,46,0.48125,0.020016,0.49873
4,47,0.49336,0.014927,0.49171
4,48,0.50712,0.011021,0.48186
4,49,0.52188,0.0080596,0.47006
4,50,0.53721,0.0058481,0.45694
4,51,0.55278,0.0042216,0.443
4,52,0.56833,0.0030291,0.42864
4,53,0.58371,0.0021692,0.41413
4,54,0.59879,0.0015527,0.39966
4,55,0.6135,0.0011133,0.38539
4,56,0.6278,0.00080301,0.3714
4,57,0.64165,0.00058366,0.35776
4,58,0.65505,0.00042957,0.34452
4,59,0.66799,0.00032106,0.33169
4,60,0.68047,0.00024465,0.31928
4,61,0.6925,0.00019084,0.30731
4,62,0.7041,0.00015291,0.29575
4,63,0.71526,0.00012636,0.28461
4,64,0.72601,0.00010797,0.27388
4,65,0.73635,9.5683e-05,0.26355
4,66,0.74631,8.8297e-05,0.2536
4,67,0.75588,8.4976e-05,0.24403
4,68,0.76509,8.5434e-05,0.23482
4,69,0.77395,8.9888e-05,0.22596
4,70,0.78246,9.9059e-05,0.21744
4,71,0.79063,0.00011462,0.20926
4,72,0.79847,0.00013847,0.2014
4,73,0.80597,0.00017433,0.19385
4,74,0.81314,0.00022975,0.18663
4,75,0.81996,0.00031618,0.17973
4,76,0.82639,0.00045198,0.17316
4,77,0.83237,0.00066648,0.16696
4,78,0.8378,0.0010147,0.16119
4,79,0.84247,0.0015867,0.15595
4,80,0.84606,0.0025277,0.15141
4,81,0.84804,0.0040825,0.14788
4,82,0.84747,0.0066436,0.14589
4,83,0.84303,0.010754,0.14622
4,84,0.83269,0.017193,0.15012
4,85,0.81403,0.026665,0.15931
4,86,0.78477,0.039451,0.17577
4,87,0.74388,0.054719,0.2014
4,88,0.6933,0.070001,0.2367
4,89,0.63819,0.08157,0.28024
4,90,0.58523,0.086942,0.32782
4,91,0.53984,0.085372,0.37479
